application_id,display_name,image_filename,brand,alcohol_content,class_type,net_contents,producer,country_of_origin,beverage_type
APP-0001,Old Tom Distillery — Kentucky Straight Bourbon Whiskey,demo_0001.png,Old Tom Distillery,45%,Kentucky Straight Bourbon Whiskey,750 mL,"Old Tom Distillery, Louisville, KY",,distilled spirits
APP-0002,Stone's Throw — Hefeweizen,demo_0002.png,Stone's Throw,5.2%,Hefeweizen,355 mL,"Harbor Light Brewing, Seattle, WA",,malt beverage
APP-0003,Iron Gate — Straight Rye Whiskey,demo_0003.png,Iron Gate,45%,Straight Rye Whiskey,750 mL,"Copper Kettle Distillery, Bardstown, KY",,distilled spirits
APP-0004,Cedar Ridge — India Pale Ale,demo_0004.png,Cedar Ridge,6.5%,India Pale Ale,12 fl oz,"Red Barn Brewing, Madison, WI",,malt beverage
APP-0005,Harbor Light — Sparkling Wine,demo_0005.png,Harbor Light,12.5%,Sparkling Wine,1.75 L,"Riverbend Spirits, Austin, TX",,wine
APP-0006,Maple Hill — Blended Whiskey,demo_0006.png,Maple Hill,50%,Blended Whiskey,500 mL,"Black Rock Distilling, Reno, NV",,distilled spirits
APP-0007,Silver Creek — Chardonnay,demo_0007.png,Silver Creek,13.5%,Chardonnay,1 L,"Northern Star Distillery, Duluth, MN",,wine
APP-0008,Copper Kettle — Aged Rum,demo_0008.png,Copper Kettle,43%,Aged Rum,355 mL,"Amber Fields Distillers, Lawrence, KS",,distilled spirits
APP-0009,Founders Oak — Oatmeal Stout,demo_0009.png,Founders Oak,6.5%,Oatmeal Stout,750 mL,"Old Tom Distillery, Louisville, KY",,malt beverage
APP-0010,Blue Mountain — London Dry Gin,demo_0010.png,Blue Mountain,46%,London Dry Gin,12 fl oz,"Cedar Ridge Spirits, Swisher, IA",,distilled spirits
APP-0011,Red Barn — Amber Lager,demo_0011.png,Red Barn,4.8%,Amber Lager,1.75 L,"Silver Creek Spirits, Boulder, CO",,malt beverage
APP-0012,Golden Valley — Kentucky Straight Bourbon Whiskey,demo_0012.png,Golden Valley,50%,Kentucky Straight Bourbon Whiskey,500 mL,"Blue Mountain Cellars, Napa, CA",Canada,distilled spirits
APP-0013,Highland Crest — Single Malt Scotch Whisky,demo_0013.png,Highland Crest,40%,Single Malt Scotch Whisky,1 L,"Highland Crest Distillers, Asheville, NC",,distilled spirits
APP-0014,Riverbend — Pinot Noir,demo_0014.png,Riverbend,13%,Pinot Noir,355 mL,"Emerald Isle Imports, Boston, MA",,wine
APP-0015,Twin Pines — Silver Tequila,demo_0015.png,Twin Pines,45%,Silver Tequila,750 mL,"Sunset Ridge Winery, Paso Robles, CA",,distilled spirits
APP-0016,Emerald Isle — Cabernet Sauvignon,demo_0016.png,Emerald Isle,14%,Cabernet Sauvignon,12 fl oz,"Coastal Bluff Brewing, Monterey, CA",,wine
APP-0017,Black Rock — Vodka,demo_0017.png,Black Rock,47%,Vodka,1.75 L,"Granite Peak Cellars, Bozeman, MT",,distilled spirits
APP-0018,White Oak — Hefeweizen,demo_0018.png,White Oak,5.5%,Hefeweizen,500 mL,"Iron Gate Distilling, Nashville, TN",,malt beverage
APP-0019,Sunset Ridge — Straight Rye Whiskey,demo_0019.png,Sunset Ridge,40%,Straight Rye Whiskey,1 L,"Maple Hill Distillery, Burlington, VT",,distilled spirits
APP-0020,Northern Star — India Pale Ale,demo_0020.png,Northern Star,7.2%,India Pale Ale,355 mL,"Founders Oak Distillers, Key West, FL",,malt beverage
APP-0021,Prairie Wind — Sparkling Wine,demo_0021.png,Prairie Wind,12.5%,Sparkling Wine,750 mL,"Golden Valley Winery, Salem, OR",,wine
APP-0022,Coastal Bluff — Blended Whiskey,demo_0022.png,Coastal Bluff,46%,Blended Whiskey,12 fl oz,"Twin Pines Brewing, Bend, OR",,distilled spirits
APP-0023,Amber Fields — Chardonnay,demo_0023.png,Amber Fields,13.5%,Chardonnay,1.75 L,"White Oak Cellars, Sonoma, CA",Japan,wine
APP-0024,Old Mill — Aged Rum,demo_0024.png,Old Mill,50%,Aged Rum,500 mL,"Prairie Wind Spirits, Lincoln, NE",,distilled spirits
